size,price
901,301900
3983,851200
3446,768200
2475,542200
2449,531300
4364,883800
886,248700
3638,735000
1406,364500
923,288900
2869,642100
4891,1013900
3811,834900
3925,819600
3729,842600
4038,766000
2810,595200
1076,165700
4279,831000
2527,623600
2752,645200
2168,447600
1321,239100
4671,836000
4017,826200
3398,850600
2311,533900
4203,862600
2954,664100
2495,471000
2527,540500
1522,359400
914,228500
2996,688700
4496,966400
787,240800
4363,888200
4225,939900
1745,480400
3343,670100
1243,254200
3912,899200
3653,771000
2095,539200
805,188900
4869,1096600
2506,557800
4519,966700
3551,838400
4003,832500
3920,786900
1376,302800
2137,500000
2600,491700
2740,629900
697,162500
2960,699400
1194,169100
3845,779700
3574,680500
4652,939100
3852,832800
2150,471000
4854,1008100
2349,511800
1966,453400
4575,914600
2167,518700
843,251700
2613,591900
4081,894000
1352,335200
2583,668400
1084,262400
3589,752400
2641,540500
1986,395600
1521,292000
3040,613600
3514,749300
4732,1013100
2467,546000
1223,256300
4247,944400
3334,753800
3651,772200
937,204800
1905,458400
3956,850600
4246,826800
2458,538200
4122,887500
4288,862600
2244,508300
4542,885700
1797,476200
1578,428000
3571,751600
3366,741400
1129,155300
4248,841800
1399,315100
4122,820800
533,192300
4086,967100
4041,799400
4012,810500
3492,760200
2622,655000
3673,723500
1747,411900
4014,943900
3000,567400
2565,498900
2775,583800
3059,635800
667,224000
1129,287900
1604,282100
1015,278800
2478,516700
3508,815300
3445,707600
2620,542200
4348,946700
3044,696900
856,243600
3943,754300
3086,694100
3356,669500
3044,670600
2991,577000
907,253700
3016,612900
4077,801300
1868,459300
3213,704700
638,146900
2064,535400
2465,521000
4923,1036200
1465,356400
1744,367800
2338,541200
4967,1016700
4341,897600
656,249300
1552,308400
4198,769000
762,282900
4351,1047700
1766,382900
4630,879200
1821,398700
2454,526500
3479,736300
1068,207900
3007,680400
2773,630800
4028,780900
4983,1081600
3490,850600
2341,526800
2329,498900
2381,519100
4163,913400
1945,352500
1251,308400
2004,431300
602,262800
977,236700
905,314400
3972,789200
3751,829600
3636,793200
2578,522100
3727,804300
1225,355600
4553,944400
2755,516400
4722,993500
1185,241900
2738,580500
3634,772700
2730,510700
2508,470800
1248,323700
2214,466700
1574,236600
1857,460600
3577,779000
3336,681500
3232,630600
2128,517400
4819,1031300
894,347900
2042,479400
1031,275600
2025,446700
4829,1056600
2148,510900
4589,1030400
2728,569500
3649,758000
2558,537600
1696,428700
3939,912700
4862,999500
1686,366000
4005,866700
1675,372700
3726,842800
4051,747600
2522,513100
3816,774100
1725,279000
856,173000
933,190800
2512,542300
4562,1018000
1074,252500
2551,508700
3668,780800
1410,384500
3747,750600
1877,379900
4139,905700
3107,660300
2961,674600
1295,308300
2584,601900
4355,869200
587,166800
3914,822300
2717,532600
3738,719400
3485,781300
2444,521300
1889,376700
3323,709800
1131,332600
3129,561800
926,160400
3424,688700
3329,788900
880,240100
3909,870200
2371,467200
4041,802200
687,209800
1307,314300
2723,622000
1347,310000
1984,460700
3473,752500
1150,318900
3550,800400
965,162000
1288,195200
3144,728900
4071,923600
1267,252400
1850,327000
4663,987600
4954,1087300
3115,762900
2512,578200
2061,443600
3256,656500
3159,682400
1826,400200
602,119600
1181,388600
4814,1102100
2382,583200
2670,538000
2602,613200
4023,886600
792,230500
872,286900
1741,430000
2690,625000
3520,785800
2708,608600
2485,457800
4721,998400
1224,267000
3073,600600
2940,722100
2631,662600
4134,944800
1701,403000
4792,1075900
1992,449000
2953,650700
2843,563900
4324,934600
2475,548000
1780,340900
597,166800
2136,473200
4219,983700
544,203500
4533,957200
2943,651000
1131,278400
1860,411900
2993,594500
1920,426400
988,210300
3497,686900
3525,780600
1035,276600
1765,313700
1597,363300
3468,793400
3787,860400
3772,855700
4725,996900
3959,799500
1943,384400
984,264000
3266,722200
4622,1038800
4889,1082800
1536,350600
1564,300600
668,167600
1135,287900
2997,639300
2961,613300
2169,496400
1895,403800
4234,865400
2570,579600
4137,857300
4835,1029200
1927,449100
1412,275400
4789,983700
3357,793300
1809,353700
3298,603800
2818,520500
4575,966500
1652,381900
4962,1036500
4713,1053300
1313,179000
1240,317800
2899,707900
702,134000
1844,399800
2458,504000
4863,977900
4966,1026900
1182,357800
4513,1044500
909,215000
3869,919100
4306,913000
4509,1039500
1505,346300
4521,960800
1022,272700
2835,775900
2613,615200
1921,398800
599,218200
3974,826700
2010,427500
3478,791000
2346,520800
2181,500100
4489,948500
925,251800
3815,834200
3861,725400
2210,525300
1681,337100
523,82500
4716,990300
4765,1007200
1584,332100
643,220200
1052,193300
804,190500
4240,868800
4514,950500
1189,301700
3861,771800
1306,347400
2152,483600
3197,594800
3740,700100
4436,936600
701,179200
1384,321600
1762,401000
1896,440500
4992,1095800
3999,794200
1942,379800
4874,970100
2747,613800
2753,662800
2452,518800
1147,154300
